name,brand,price_pkr,url,source,ram_gb,storage_gb,processor,display_inches
Apple MacBook Pro A1278 - 8GB RAM 256GB SSD - 2.5GHz Dual-Core Intel Core i5 - Mid 2012 13.3-inch LED Display - Dual Ope,Apple,40999,#,Daraz.pk,8,256,Intel i5,15.6
Dell Laptop Chromebook 3180 • 11.6″ HD • Intel Celeron N3060 • 4 GB RAM • 16 GB Storage • WiFi / Bluetooth • Chrome OS &,Dell,146934,#,Daraz.pk,4,16,Intel Celeron,15.6
"Apple Macbook Air 2015 (11.6-inch, Early 2015) with 1.6GHz dual-core Intel Core i5 processor, 4GB 1600MHz, 128GB PCIe-ba",Apple,29364,#,Daraz.pk,4,512,Intel i5,15.6
"Daraz Like New - HP EliteBook 850 G6 Core i5 8th Gen, 16GB RAM, 512GB SSD, 15.6″ FHD IPS LED",HP,107499,#,Daraz.pk,16,512,Intel i5,15.6
DELL INSPIRON 15 7567 GAMING SERIES LAPTOP INTEL CORE I5 7 GENERATION NAVEDIA GTX 1050 GAMING GPU 1 TB HD AND 256 GB SSD,Dell,112000,#,Daraz.pk,16,256,Intel i5,15.6
"Lenovo Thinkpad x270 Ultra Book, Core i5 7th generation, 8GB DDR4 Ram, 256GB SSD, 12.5"" Led Display, Intel HD Graphics W",Lenovo,37999,#,Daraz.pk,8,256,Intel i5,12.5
Amd R9 270x 2gb never mined available in ASUS I NITRO SAPPHIRE I GIGABYTE I MSI,ASUS,18000,#,Daraz.pk,8,512,AMD Ryzen 9,15.6
ALIEN WARE17-R5 laptop (not available cash on delivery),Unknown,225000,#,Daraz.pk,8,512,AMD Ryzen 5,15.6
Daraz Like New Laptops - HP ProBook 640 G1 - Core i5 4th Generation - 4GB RAM - 500GB HDD - 14inch Screen - FREE LAPTOP ,HP,35999,#,Daraz.pk,4,512,Intel i5,14.0
Acer Chromebook 128GB Storage 4GB Ram Most Demanded 5th Generation Laptop Chromebook With Charger & free Laptop Bag Gift,Acer,15500,#,Daraz.pk,4,128,Intel i5,15.6
Microsoft Surface Pro 4 | Intel Core i5 6th Generation | 4GB Ram - 128GB NVME SSD | 6 Months Warranty | 2K DISPLAY | 2Ho,Microsoft,48000,#,Daraz.pk,4,512,Intel i5,15.6
"Hp Chromebook 11 G6 EE | 4GB RAM DDR4 | 16GB SSD EMMC | Playstore supported | 11.6"" screen - Daraz Like New Laptops",HP,93621,#,Daraz.pk,4,16,Intel i5,11.6
Acer C740 Chromebook - 128GB SSD - 4GB Ram - Playstore Supported - 5th Generation - 5 Hours Battery Backup,Acer,20000,#,Daraz.pk,4,128,Intel i5,15.6
Microsoft Surface pro 7 plus Core i7 11th Generation 16GB Ram 256GB ssd 2 in 1 tablet laptop with detachable keyboard,Microsoft,100000,#,Daraz.pk,16,256,Intel i7,15.6
USA STOCK TOUCH SCREEN 360° Folding Lenovo 300e Chromebook 4GB Ram 32 GB Storage Update 2029/2027 FREE TOUCH STYLUS PEN,Lenovo,16500,#,Daraz.pk,4,32,Intel i5,15.6
Acer | C740/C720 | 128GB Storage | 4GB RAM | Windows 10 / 11.6″ Display | Play Store Supported | Android Apps Supported ,Acer,15999,#,Daraz.pk,4,128,Intel i5,15.6
"Dell Chromebook 11 3120 P22T Windows 10 | 4GB RAM | 16GB SSD | 11.6"" Screen Size | Windows Converted",Dell,163929,#,Daraz.pk,4,16,Intel i5,11.6
Airpods Air Pro 2rd Gen Orignal Bluetooth Earbuds Dual Earphones Headset (Connect With All Bluetooth Devices),Unknown,70607,#,Daraz.pk,8,512,Intel i5,15.6
Microsoft surface pro 7 I5 10th Generation 8gb 256gb 4 GB Intel HD Graphics 620 2 in 1 tablet laptop with Original de at,Microsoft,62999,#,Daraz.pk,8,512,Intel i5,15.6
Asus 15.6” Touchscreen Laptop | Core i5 4th Gen | 4GB RAM | 120GB SSD | 360° Convertible | Perfect Battery & Charger Inc,ASUS,35000,#,Daraz.pk,4,128,Intel i5,15.6
DELL 3180 Chromebook Notebooks Laptops Best for Studying and Online Working and Office Work,Dell,242032,#,Daraz.pk,8,512,Intel i5,15.6
"Lenovo N23 Chromebook – 11.6"" HD Display, Intel Celeron, 4GB RAM, 16GB Storage – Rugged Student Laptop with Chrome OS",Lenovo,142390,#,Daraz.pk,4,16,Intel Celeron,11.6
Dell Latitude E6430 Core i5 3nd Generation 3320M 2.6Ghz 4Gb Ram 500Gb Hard Disk,Dell,29000,#,Daraz.pk,4,512,Intel i5,15.6
"Apple MacBook Pro 2019 (A1989) – 13.3"" Retina Display | Intel Core i7 | 16GB RAM | 256GB SSD | Touch Bar | Space Gray | ",Apple,116999,#,Daraz.pk,16,256,Intel i7,13.3
